Iteration	access_egress_pt_travel	access_egress_pt_wait	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	ride_school_bus_travel	ride_school_bus_wait	ride_taxi_travel	ride_taxi_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
52	199.61805555555554	0.0	960.9408333333333	0.0	11264.068333333333	0.0	277.2897222222222	0.0	788.0238888888889	538.2066666666667	3849.998888888889	0.0	107.94027777777778	0.0	211.37916666666666	0.0	0.0	0.0	15487.996111111112	0.0
53	158.245	0.0	992.2747222222222	0.0	11255.013888888889	0.0	277.8425	0.0	774.9077777777778	524.4613888888889	3853.0505555555555	0.0	108.62361111111112	0.0	202.77055555555555	0.0	0.0	0.0	15475.040277777778	0.0
54	155.67388888888888	0.0	935.2294444444444	0.0	11302.767222222223	0.0	279.7291666666667	0.0	754.0972222222222	557.9	3850.4694444444444	0.0	109.26388888888889	0.0	200.0613888888889	0.0	0.0	0.0	15295.928333333333	0.0
55	159.0875	0.0	922.2872222222222	0.0	11253.8425	0.0	278.0472222222222	0.0	735.4277777777778	518.3527777777778	3899.174722222222	0.0	109.28861111111111	0.0	175.27277777777778	0.0	0.0	0.0	15363.7675	0.0
56	153.82972222222222	0.0	873.5119444444445	0.0	11320.73111111111	0.0	276.425	0.0	734.675	476.7713888888889	3867.5694444444443	0.0	110.37833333333333	0.0	198.80833333333334	0.0	0.0	0.0	15221.62611111111	0.0
57	157.84333333333333	0.0	925.7183333333334	0.0	11268.909166666666	0.0	281.5180555555556	0.0	711.1788888888889	487.45166666666665	3876.3952777777777	0.0	110.43833333333333	0.0	210.71833333333333	0.0	0.0	0.0	15294.005555555555	0.0
58	179.0511111111111	0.0	994.2961111111111	0.0	11231.198055555555	0.0	275.1191666666667	0.0	741.1030555555556	499.10277777777776	3900.108333333333	0.0	109.80666666666667	0.0	182.2411111111111	0.0	0.0	0.0	15299.24	0.0
59	154.78472222222223	0.0	979.1972222222222	0.0	11264.260555555555	0.0	275.1947222222222	0.0	733.9355555555555	496.8258333333333	3895.7166666666667	0.0	110.0411111111111	0.0	198.09416666666667	0.0	0.0	0.0	14980.000277777777	0.0
60	154.17055555555555	0.0	968.3463888888889	0.0	11262.884722222223	0.0	275.9238888888889	0.0	726.6433333333333	503.99916666666667	3923.8269444444445	0.0	110.6325	0.0	166.8788888888889	0.0	0.0	0.0	14975.921666666667	0.0
61	166.83805555555554	0.0	977.8169444444444	0.0	11215.7325	0.0	275.0202777777778	0.0	760.6997222222222	540.675	3917.6116666666667	0.0	110.96555555555555	0.0	179.44861111111112	0.0	0.0	0.0	15166.085	0.0
62	155.85694444444445	0.0	958.6827777777778	0.0	11242.523055555555	0.0	274.6763888888889	0.0	698.5558333333333	487.5622222222222	3923.5405555555553	0.0	110.75361111111111	0.0	170.37055555555557	0.0	0.0	0.0	15353.861111111111	0.0
63	162.93472222222223	0.0	1041.2605555555556	0.0	11265.908333333333	0.0	275.00166666666667	0.0	682.8066666666666	483.8186111111111	3905.6252777777777	0.0	111.91305555555556	0.0	178.93583333333333	0.0	0.0	0.0	14905.9425	0.0
64	146.34944444444446	0.0	978.1202777777778	0.0	11258.012777777778	0.0	277.505	0.0	684.0469444444444	458.04583333333335	3908.088888888889	0.0	112.06888888888889	0.0	190.71083333333334	0.0	0.0	0.0	15231.454722222223	0.0
65	147.04527777777778	0.0	922.8044444444445	0.0	11262.294444444444	0.0	275.2375	0.0	711.9322222222222	511.2730555555556	3929.532222222222	0.0	110.53083333333333	0.0	175.43	0.0	0.0	0.0	15054.847222222223	0.0
66	138.11944444444444	0.0	1038.5055555555555	0.0	11620.51638888889	0.0	275.5336111111111	0.0	676.3355555555555	477.98277777777776	3897.0661111111112	0.0	108.12916666666666	0.0	167.39444444444445	0.0	0.0	0.0	14863.760555555555	0.0
67	132.0911111111111	0.0	961.0402777777778	0.0	11301.371388888889	0.0	274.6286111111111	0.0	676.8527777777778	437.51444444444445	3942.9430555555555	0.0	109.18222222222222	0.0	161.12916666666666	0.0	0.0	0.0	15114.58	0.0
68	130.2536111111111	0.0	934.4177777777778	0.0	11338.589166666667	0.0	274.77916666666664	0.0	685.1041666666666	453.805	3900.0005555555554	0.0	109.8236111111111	0.0	167.26194444444445	0.0	0.0	0.0	14964.306944444445	0.0
69	123.86361111111111	0.0	1064.075	0.0	11266.55388888889	0.0	273.61944444444447	0.0	660.0219444444444	455.02472222222224	3925.3	0.0	110.50111111111111	0.0	162.1838888888889	0.0	0.0	0.0	15052.656944444445	0.0
70	149.0811111111111	0.0	795.8136111111111	0.0	11284.210833333333	0.0	273.02222222222224	0.0	714.6947222222223	492.8886111111111	3936.4319444444445	0.0	110.86972222222222	0.0	173.95333333333335	0.0	0.0	0.0	14865.287222222221	0.0
71	162.33666666666667	0.0	888.2352777777778	0.0	12359.224444444444	0.0	273.90472222222223	0.0	712.455	546.2544444444444	3778.2294444444447	0.0	105.96277777777777	0.0	134.17805555555555	0.0	0.0	0.0	14743.555277777778	0.0
72	135.35583333333332	0.0	977.4622222222222	0.0	11330.921388888888	0.0	272.86944444444447	0.0	699.4733333333334	449.98277777777776	3863.54	0.0	107.44472222222223	0.0	167.4311111111111	0.0	0.0	0.0	14983.560277777779	0.0
